,Ti,Ni,Cu,Fe,Pd,Co,Mn,Cr,Nb,Zr,Hf,hp
154,31.0,45.0,4,0,0,0,0,0,0,4,16,303.7055601795146
155,34.0,45.0,4,0,0,0,0,0,0,0,17,243.90300189654226
156,33.0,45.0,4,0,0,0,0,0,0,1,17,263.89248280157335
157,32.0,45.0,4,0,0,0,0,0,0,2,17,284.025835295266
158,31.0,45.0,4,0,0,0,0,0,0,3,17,304.3030593775911
159,33.0,45.0,4,0,0,0,0,0,0,0,18,263.3841509328631
160,32.0,45.0,4,0,0,0,0,0,0,1,18,284.0062207247829
161,31.0,45.0,4,0,0,0,0,0,0,2,18,304.77216210536426
162,32.0,45.0,4,0,0,0,0,0,0,0,19,283.8582096839673
163,31.0,45.0,4,0,0,0,0,0,0,1,19,305.1128683628922
164,31.0,45.0,4,0,0,0,0,0,0,0,20,305.3251781500294
165,40.0,44.0,5,0,0,0,0,0,0,11,0,168.55526282970095
166,39.0,44.0,5,0,0,0,0,0,0,12,0,178.93061231067986
167,38.0,44.0,5,0,0,0,0,0,0,13,0,189.4498333799711
168,37.0,44.0,5,0,0,0,0,0,0,14,0,200.11292603760376
169,36.0,44.0,5,0,0,0,0,0,0,15,0,210.91989028369426
170,35.0,44.0,5,0,0,0,0,0,0,16,0,221.87072611867916
171,34.0,44.0,5,0,0,0,0,0,0,17,0,232.96543354121968
172,33.0,44.0,5,0,0,0,0,0,0,18,0,244.20401255239267
173,32.0,44.0,5,0,0,0,0,0,0,19,0,255.58646315225633
174,31.0,44.0,5,0,0,0,0,0,0,20,0,267.11278534075245
175,40.0,44.0,5,0,0,0,0,0,0,10,1,166.8590072314255
176,39.0,44.0,5,0,0,0,0,0,0,11,1,177.72307401080616
177,38.0,44.0,5,0,0,0,0,0,0,12,1,188.7310123781499
178,37.0,44.0,5,0,0,0,0,0,0,13,1,199.88282233444625
179,36.0,44.0,5,0,0,0,0,0,0,14,1,211.1785038789385
180,35.0,44.0,5,0,0,0,0,0,0,15,1,222.6180570118595
181,34.0,44.0,5,0,0,0,0,0,0,16,1,234.20148173318012
182,33.0,44.0,5,0,0,0,0,0,0,17,1,245.92877804284217
183,32.0,44.0,5,0,0,0,0,0,0,18,1,257.7999459411367
184,31.0,44.0,5,0,0,0,0,0,0,19,1,269.8149854275398
185,40.0,44.0,5,0,0,0,0,0,0,9,2,165.0343551626138
186,39.0,44.0,5,0,0,0,0,0,0,10,2,176.38713924048352
187,38.0,44.0,5,0,0,0,0,0,0,11,2,187.88379490649095
188,37.0,44.0,5,0,0,0,0,0,0,12,2,199.5243221608107
189,36.0,44.0,5,0,0,0,0,0,0,13,2,211.30872100385022
190,35.0,44.0,5,0,0,0,0,0,0,14,2,223.23699143514386
191,34.0,44.0,5,0,0,0,0,0,0,15,2,235.30913345440058
192,33.0,44.0,5,0,0,0,0,0,0,16,2,247.5251470624935
193,32.0,44.0,5,0,0,0,0,0,0,17,2,259.8850322593935
194,31.0,44.0,5,0,0,0,0,0,0,18,2,272.3887890444603
195,40.0,44.0,5,0,0,0,0,0,0,8,3,163.08130662396434
196,39.0,44.0,5,0,0,0,0,0,0,9,3,174.92280799982836
197,38.0,44.0,5,0,0,0,0,0,0,10,3,186.90818096420844
198,37.0,44.0,5,0,0,0,0,0,0,11,3,199.03742551701725
199,36.0,44.0,5,0,0,0,0,0,0,12,3,211.31054165840033
200,35.0,44.0,5,0,0,0,0,0,0,13,3,223.72752938815393
201,34.0,44.0,5,0,0,0,0,0,0,14,3,236.28838870639447
202,33.0,44.0,5,0,0,0,0,0,0,15,3,248.99311961280182
203,32.0,44.0,5,0,0,0,0,0,0,16,3,261.8417221074924
204,31.0,44.0,5,0,0,0,0,0,0,17,3,274.83419619104825
205,40.0,44.0,5,0,0,0,0,0,0,7,4,160.99986161469133
206,39.0,44.0,5,0,0,0,0,0,0,8,4,173.33008028916083
