,Ti,Ni,Cu,Hf,Zr,hp1,hp2,hpVary
257,43.0,41.0,10,2,4,66.99726496063522,-86.09567334136227,153.0929383019975
258,44.0,48.0,3,0,5,-65.91947166016325,87.34782454872038,153.26729620888364
259,43.0,44.0,7,3,3,-82.17150626513467,71.27909972049383,153.4506059856285
260,44.0,51.0,0,1,4,91.22949457822688,-62.39546931438963,153.6249638926165
261,43.0,47.0,4,4,2,-78.15920536952035,75.64906829982647,153.80827366934682
262,42.0,43.0,8,7,0,60.578251331644424,-93.4133321144036,153.99158344604803
263,43.0,50.0,1,5,1,80.10717069871316,-74.05877065444656,154.16594135315972
264,43.0,42.0,9,2,4,-84.97037990455283,69.56074165683822,154.53112156139105
265,44.0,49.0,2,0,5,-64.73275782853307,89.97272163982416,154.70547946835723
266,43.0,45.0,6,3,3,73.96511054519942,-80.92367869985173,154.88878924505116
267,42.0,41.0,10,6,1,58.46710876082943,-96.6049902610248,155.07209902185423
268,43.0,48.0,3,4,2,78.45761325311469,-76.78884367567662,155.2464569287913
269,42.0,44.0,7,7,0,-91.98185668697988,63.44791001859994,155.42976670557982
270,43.0,51.0,0,5,1,-72.56587483199837,83.0382497805549,155.60412461255328
271,43.0,43.0,8,2,4,-83.78745596986846,72.18184885097435,155.9693048208428
272,44.0,50.0,1,0,5,92.65524922889745,-63.488413498940645,156.1436627278381
273,43.0,46.0,5,3,3,76.70875186799822,-79.61822063659201,156.32697250459023
274,42.0,42.0,9,6,1,61.271863817150006,-95.23841846412688,156.5102822812769
275,43.0,49.0,2,4,2,81.32378870445973,-75.36085148381244,156.68464018827217
276,42.0,45.0,6,7,0,66.37519920351042,-90.49275076153572,156.86794996504614
277,43.0,41.0,10,1,5,-86.75053717955598,70.29928321702027,157.04982039657625
278,43.0,44.0,7,2,4,-82.54690153723641,74.86058654307999,157.4074880803164
279,44.0,51.0,0,0,5,-62.186438671371434,95.3954073159257,157.58184598729713
280,43.0,47.0,4,3,3,79.51002368867921,-78.25513207538461,157.76515576406382
281,42.0,43.0,8,6,1,-93.81421616931038,64.13424937149102,157.9484655408014
282,43.0,50.0,1,4,2,-73.87522879406606,84.24759465370153,158.1228234477676
283,42.0,46.0,5,7,0,-88.94601433815842,69.36011888637586,158.30613322453428
284,43.0,42.0,9,1,5,72.91311727852008,-85.57488637743518,158.48800365595525
285,43.0,45.0,6,2,4,77.59695473314059,-81.24871660661302,158.8456713397536
286,42.0,41.0,10,5,2,-97.23498551671219,61.79399559980084,159.02898111651302
287,43.0,48.0,3,3,3,82.36892600725696,-76.83441301618586,159.20333902344282
288,42.0,44.0,7,6,1,67.05426542379428,-92.33238337653165,159.38664880032593
289,43.0,51.0,0,4,2,-72.33197560633562,87.22903110088373,159.56100670721935
290,42.0,47.0,4,7,0,72.40266906721081,-87.34164741677523,159.74431648398604
291,43.0,43.0,8,1,5,-84.34160507755587,75.58458183798211,159.92618691553798
292,43.0,46.0,5,2,4,80.39095342118526,-79.8929011780856,160.28385459927085
293,42.0,42.0,9,5,2,64.64910802146187,-95.81805635451747,160.46716437597934
294,43.0,49.0,2,3,3,85.28545882386243,-75.35606345909036,160.6415222829528
295,42.0,45.0,6,6,1,70.03191197396518,-90.79292008568882,160.824832059654
296,43.0,41.0,10,0,6,-87.53379748802399,73.47290500314557,161.00670249116956
297,42.0,48.0,3,7,0,-85.67964999747346,75.50284974595706,161.18249974343053
298,43.0,44.0,7,1,5,78.31367689547187,-83.0506932795688,161.36437017504068
299,43.0,47.0,4,2,4,-78.47945525150863,83.24258260717761,161.72203785868624
300,42.0,43.0,8,5,2,67.56185094104148,-94.34349669440417,161.90534763544565
301,43.0,50.0,1,3,3,88.25962213841558,-73.82008340395987,162.07970554237545
302,42.0,46.0,5,6,1,-89.19582629697106,73.06718902220018,162.26301531917125
303,43.0,42.0,9,0,6,76.13709643000038,-86.30778932065004,162.44488575065043
304,42.0,49.0,2,7,0,78.66066092278925,-83.96002208012942,162.62068300291867
305,43.0,45.0,6,1,5,-81.7021509835904,81.10040245083655,162.80255343442695
306,42.0,41.0,10,4,3,-97.99337724267389,64.99248596854159,162.98586321121547
307,43.0,48.0,3,2,4,-77.00837882704946,86.15184229115403,163.16022111820348
308,42.0,44.0,7,5,2,-92.81130653624132,70.53222435866337,163.3435308949047
309,43.0,51.0,0,3,3,-72.22647285096173,91.29141595094552,163.51788880190725
310,42.0,47.0,4,6,1,-87.54110201033473,76.16009656836832,163.70119857870304
311,43.0,43.0,8,0,6,78.85891835486836,-85.02415065532841,163.88306901019678
312,42.0,50.0,1,7,0,81.8761025974527,-82.18276366488135,164.05886626233405
313,43.0,46.0,5,1,5,83.94475850420713,-80.29597818975162,164.24073669395875
314,42.0,42.0,9,4,3,67.89795575551398,-96.52609071513871,164.42404647065268
315,43.0,49.0,2,2,4,89.11873247304902,-75.47967190453346,164.59840437758248
316,42.0,45.0,6,5,2,-91.22148588015261,73.56022827421111,164.78171415436373
317,41.0,41.0,10,8,0,-106.45369054553157,58.511333385562466,164.96502393109404
318,42.0,48.0,3,6,1,-85.82874722561974,79.31063461245503,165.13938183807477
